,0.74
0.99,0.232258065
0.96,0.180645161
0.94,0.122580645
0.9,0.048387097
0.85,-0.029032258
0.8,-0.103225806
0.75,
0.7,-0.193548387
0.65,-0.264516129
0.6,-0.374193548
0.55,-0.538709677
0.5,-0.641935484
0.45,-0.741935484
0.4,-0.941935484
0.35,-1.448387097
0.3,-1.490322581
0.25,
0.2,-1.509677419
0.15,-1.519354839
0.135,-1.529032258
0.11,-1.551612903
0.08,-1.548387097
0.06,-1.551612903
0.03,-1.535483871
0.008,-1.364516129
0.008,0.732258065
0.03,0.370967742
0.06,0.248387097
0.08,0.196774194
0.11,0.132258065
0.135,0.093548387
0.15,0.064516129
0.2,0.041935484
0.25,0.009677419
0.3,-0.029032258
0.35,-0.058064516
0.4,-0.077419355
0.45,-0.1
0.5,-0.112903226
0.55,-0.138709677
0.6,-0.15483871
0.65,-0.167741935
0.7,-0.158064516
0.75,-0.180645161
0.8,-0.161290323
0.85,-0.141935484
0.9,-0.064516129
0.94,
0.96,0.112903226
0.99,0.203225806
