,0.22
0.9893,-1.182569243
0.9496,-1.183550221
0.8998,-1.172072776
0.8498,-1.211900492
0.8003,-1.264480925
0.7503,-1.342959182
0.7003,-1.421339342
0.6506,-1.512668414
0.6011,-1.591048574
0.5503,-1.682279548
0.5005,-1.773510523
0.4505,-1.890443126
0.3992,-2.00737573
0.3503,-2.111457519
0.2999,-2.292742294
0.2501,-2.486779786
0.1998,-2.77077298
0.1493,-3.196125136
0.0996,-4.00709983
0.0752,-4.611774804
0.0622,-5.126199782
0.0497,-5.833288883
0.0374,-6.486154961
0.0245,-7.906009006
0.0186,-9.471145386
0.0127,-10.84643652
0.0062,-10.16784846
0,-5.60324949
0.0054,-2.428803973
0.0111,
0.01777,-0.950469797
0.0244,-0.577698073
0.037,-0.307340476
0.0489,-0.217188578
0.061,-0.17834184
0.0745,-0.190800264
0.0988,-0.228764121
0.1485,-0.304593737
0.1989,-0.39317607
0.249,-0.494707316
0.2982,-0.544835303
0.3482,-0.607814105
0.398,-0.670792906
0.4485,-0.733771708
0.5,-0.771146978
0.5487,-0.808326053
0.5989,-0.819999693
0.6486,-0.792924695
0.699,-0.72739535
0.749,-0.674716819
0.7993,-0.660590733
0.8499,-0.646366549
0.9506,-0.695219264
0.9899,-0.796946705
1,
