,0.15
0.9893,-0.282057892
0.9496,-0.28253559
0.8998,-0.283115652
0.8498,-0.295399314
0.8003,-0.342623168
0.7503,-0.42488958
0.7003,-0.530494948
0.6506,-0.636134438
0.6011,-0.753409285
0.5503,-0.847379296
0.5005,-0.9879931
0.4505,-1.093564347
0.3992,-1.199203837
0.3503,-1.363156598
0.2999,-1.573753151
0.2501,-1.831095862
0.1998,-2.158387201
0.1493,-2.684162038
0.0996,-3.734995166
0.0752,-4.505419597
0.0622,-5.100733608
0.0497,-5.999419938
0.0374,-6.891891892
0.0245,-8.448648649
0.0186,-9.583783784
0.0127,-10.96756757
0.0062,-10.74054054
0,-6.394594595
0.0054,-2.359122704
0.0111,-1.227080924
0.01777,-0.293454401
0.0244,
0.037,0.663647565
0.0489,
0.061,
0.0745,0.897480712
0.0988,
0.1485,0.886698387
0.1989,0.793922621
0.249,0.666138419
0.2982,0.596701609
0.3482,0.5272648
0.398,0.434523155
0.4485,0.388425303
0.5,0.318988494
0.5487,0.272924763
0.5989,0.250131746
0.6486,0.285754365
0.699,0.356351298
0.749,0.403643395
0.7993,0.439197771
0.8499,0.416438876
0.9506,0.359285728
0.9899,0.103000777
1,-0.013659887
