,0.15
0.9893,0.068026463
0.9496,-0.04914602
0.8998,-0.189759824
0.8498,-0.295365193
0.8003,-0.377665725
0.7503,-0.389915265
0.7003,-0.390461206
0.6506,-0.391075389
0.6011,-0.379985972
0.5503,-0.392235513
0.5005,-0.451162967
0.4505,-0.475116107
0.3992,-0.510704604
0.3503,-0.522988266
0.2999,-0.535203685
0.2501,-0.582461661
0.1998,-0.699736508
0.1493,-0.805341876
0.0996,-0.934286202
0.0752,-1.051288078
0.0622,-1.051458685
0.0497,-1.063264648
0.0374,-1.01672322
0.0245,-0.946876955
0.0186,-0.841919891
0.0127,-0.550251171
0.0062,-0.060201316
0,0.989949387
0.0054,0.826679051
0.0111,0.46499346
0.01777,0.254976968
0.0244,0.161723504
0.037,0.021826247
0.0489,-0.118036889
0.061,-0.117866282
0.0745,-0.164407711
0.0988,-0.199143177
0.1485,-0.221902072
0.1989,-0.256330446
0.249,-0.279089341
0.2982,-0.313483593
0.3482,-0.32457301
0.398,-0.335628305
0.4485,-0.335082365
0.5,-0.334502303
0.5487,-0.357227077
0.5989,-0.286630144
0.6486,-0.134346862
0.699,0.017936421
0.749,0.240816636
0.7993,0.276405133
0.8499,0.312027752
0.9506,0.324277292
0.9899,0.254703998
1,0.103137262
