,0.6
1,0.1371
0.9212,-0.0272
0.8791,-0.1081
0.8353,-0.2006
0.7493,-0.3449
0.6997,-0.3912
0.6598,-0.4165
0.6197,-0.4279
0.5795,-0.4338
0.5397,-0.4327
0.4996,-0.4291
0.4598,-0.4283
0.4201,-0.4185
0.3795,-0.4162
0.3402,-0.4177
0.2994,-0.4286
0.25,-0.424
0.1997,-0.4327
0.1,-0.4754
0.08,-0.4687
0.0608,-0.4954
0.04,-0.4976
0.03,-0.4688
0.0203,-0.4197
0.0097,-0.1797
0.0083,-0.1559
0,0.8913
0,0.8913
0.0052,0.4593
0.0098,0.3495
0.02,0.2524
0.05,0.1126
0.0813,0.0336
0.1199,-0.0236
0.1796,-0.0938
0.2397,-0.145
0.2995,-0.1908
0.3588,-0.2327
0.4193,-0.2621
0.4793,-0.2696
0.5394,-0.2346
0.5994,-0.1276
0.6507,0.0211
0.7203,0.149
0.7743,0.2204
0.8394,0.2655
0.8996,0.2752
0.9492,0.2352
1,0.1371
