,0.783
0.978040541,-0.549698189
0.952702703,-0.556136821
0.927364865,-0.562575453
0.903716216,-0.562575453
0.876689189,-0.565794769
0.853040541,-0.5722334
0.826013514,-0.5722334
0.800675676,-0.5722334
0.777027027,-0.575452716
0.751689189,-0.581891348
0.726351351,-0.594768612
0.701013514,-0.626961771
0.675675676,-0.701006036
0.650337838,-1.09054326
0.625,-1.148490946
0.601351351,-1.119517103
0.574324324,-1.09054326
0.548986486,-1.051911469
0.523648649,-1.006841046
0.496621622,-0.958551308
0.449324324,-0.845875252
0.400337838,-0.749295775
0.349662162,-0.639839034
0.300675676,-0.523943662
0.251689189,-0.395171026
0.199324324,-0.253521127
0.150337838,-0.105432596
0.097972973,0.074849095
0,0.284104628
0,0.284104628
0.097972973,0.074849095
0.150337838,-0.105432596
0.199324324,-0.253521127
0.251689189,-0.395171026
0.300675676,-0.523943662
0.349662162,-0.639839034
0.400337838,-0.749295775
0.449324324,-0.845875252
0.496621622,-0.961770624
0.523648649,-1.006841046
0.523648649,-1.006841046
0.548986486,-1.051911469
0.574324324,-1.093762575
0.601351351,-1.119517103
0.625,-1.151710262
0.650337838,-1.093762575
0.675675676,-0.701006036
0.701013514,-0.626961771
0.726351351,-0.594768612
0.751689189,-0.585110664
0.777027027,-0.575452716
0.800675676,-0.5722334
0.826013514,-0.5722334
0.853040541,-0.5722334
0.876689189,-0.565794769
0.903716216,-0.562575453
0.927364865,-0.565794769
0.952702703,-0.556136821
0.978040541,-0.549698189
