,0.76
1,0.094
0.975,0.0681
0.95,0.0324
0.9,-0.065
0.8,-0.292
0.7,-0.5325
0.62,-0.7893
0.58,-0.7712
0.54,-0.6931
0.5,-0.6636
0.46,-0.6692
0.42,-0.6438
0.38,-0.6088
0.34,-0.6161
0.3,-0.8074
0.26,-0.8052
0.22,-0.7871
0.16,-0.6658
0.14,-0.7663
0.1,-0.8331
0.08,-0.8358
0.06,-0.4
0.04,-0.2627
0.025,-0.0229
0.015,0.2197
0.008,0.5019
0.004,0.7756
0,1.1379
0,1.1379
0.004,0.1296
0.008,-0.1288
0.02,-0.162
0.05,-0.0542
0.1,-0.1726
0.15,-0.2725
0.2,-0.3786
0.25,-0.4686
0.35,-0.4604
0.45,-0.2861
0.55,-0.1065
0.65,0.068
0.75,0.2183
0.85,0.3129
1,0.094
