,0.6
0.983651226,0.076433121
0.962761126,0.076433121
0.939146231,0.057324841
0.918256131,0.025477707
0.8955495,4.44E-16
0.874659401,-0.031847134
0.853769301,-0.057324841
0.83106267,-0.089171975
0.811080836,-0.121019108
0.78928247,-0.140127389
0.76657584,-0.171974522
0.744777475,-0.203821656
0.723887375,-0.242038217
0.702997275,-0.25477707
0.682107175,-0.27388535
0.66030881,-0.312101911
0.638510445,-0.337579618
0.61671208,-0.356687898
0.59582198,-0.369426752
0.57311535,-0.401273885
0.55222525,-0.420382166
0.53133515,-0.452229299
0.50862852,-0.47133758
0.486830154,-0.477707006
0.46684832,-0.503184713
0.444141689,-0.52866242
0.423251589,-0.541401274
0.40236149,-0.579617834
0.38147139,-0.598726115
0.358764759,-0.649681529
0.337874659,-0.681528662
0.315168029,-0.770700637
0.294277929,-0.853503185
0.272479564,-0.961783439
0.250681199,-1.108280255
0.229791099,-1.280254777
0.209809264,-1.496815287
0.186194369,-1.738853503
0.173478656,-2.025477707
0.156221617,-2.414012739
0.138964578,-2.515923567
0.122615804,-2.560509554
0.107175295,-2.573248408
0.091734787,-2.554140127
0.084468665,-2.541401274
0.078110808,-2.535031847
0.073569482,-2.50955414
0.06448683,-2.503184713
0.059037239,-2.484076433
0.053587648,-2.484076433
0.050862852,-2.464968153
0.044504995,-2.414012739
0.038147139,-2.375796178
0.034514078,-2.324840764
0.027247956,-2.222929936
0.02270663,-2.121019108
0.018165304,-1.891719745
0.010899183,-1.78343949
0.007266122,-1.757961783
0.002724796,0.649681529
0.005449591,1.108280255
0.008174387,1.050955414
0.017257039,0.949044586
0.0208901,0.904458599
0.024523161,0.847133758
0.031789282,0.777070064
0.037238874,0.738853503
0.042688465,0.719745223
0.055404178,0.662420382
0.068119891,0.605095541
0.08719346,0.522292994
0.118074478,0.452229299
0.150772025,0.401273885
0.184377838,0.363057325
0.216167121,0.318471338
0.247048138,0.286624204
0.278837421,0.267515924
0.310626703,0.23566879
0.343324251,0.21656051
0.375113533,0.203821656
0.406902816,0.178343949
0.437783833,0.159235669
0.470481381,0.152866242
0.504995459,0.101910828
0.534059946,0.089171975
0.566757493,0.076433121
0.598546776,0.076433121
0.629427793,0.070063694
0.664850136,0.044585987
0.695731153,0.044585987
0.726612171,0.038216561
0.758401453,0.031847134
0.790190736,0.01910828
0.821980018,0.025477707
0.852861035,0.044585987
0.886466848,0.076433121
0.918256131,0.127388535
0.950953678,0.229299363
0.981834696,0.229299363
