,0.1,
0.97,0.092484456,-
0.955,0.076110676,-
0.9275,0.029510616,-
0.9,0.02123953,-
0.8725,0.010822218,-
0.8575,0.012654624,-
0.8435,-0.023780711,-
0.78,-0.062737327,-
0.67,-0.14449907,-
0.54,-0.254654686,-
0.36,-0.351256316,-
0.2,-0.393162845,-
0.12,-0.252816157,-
0.06,,-
0.03,0.367248919,-
0.0075,0.911329612,-
0.0075,-0.929398023,-
0.03,-0.880758895,-
0.06,-0.648508702,-
0.12,-0.47053263,-
0.2,-0.320537108,-
0.36,-0.157717805,-
0.54,-0.115497455,-
0.67,-0.098113326,-
0.78,-0.060705913,-
0.8435,-0.023773057,-
0.8575,0.012662278,-
0.8725,0.012853632,-
0.9,0.029189141,-
0.9275,0.033550482,-
0.955,0.066060763,-
0.97,0.076378572,-
