,0.758
1,0.12987013
0.95,0.023376623
0.9,-0.192207792
0.85,-0.306493506
0.8,-0.342857143
0.75,-0.358441558
0.7,-0.32987013
0.65,-0.322077922
0.6,-0.32987013
0.55,-0.454545455
0.5,-0.6
0.45,-1.163636364
0.4,-1.25974026
0.35,-1.075324675
0.3,-1.25974026
0.25,-1.301298701
0.2,-1.288311688
0.15,-1.322077922
0.1,-1.296103896
0.075,-1.405194805
0.05,-1.431168831
0.025,-1.25974026
0.01,-0.654545455
0.005,-0.01038961
0.002,0.501298701
0,1.119480519
0.005,0.992207792
0.01,0.693506494
0.025,0.249350649
0.05,0.135064935
0.075,0.041558442
0.1,-0.01038961
0.15,-0.072727273
0.2,-0.07012987
0.25,-0.083116883
0.3,-0.101298701
0.35,-0.14025974
0.4,-0.148051948
0.45,-0.155844156
0.5,-0.202597403
0.55,-0.18961039
0.6,-0.132467532
0.65,0.096103896
0.7,0.267532468
0.75,0.350649351
0.8,0.353246753
0.85,0.444155844
0.95,0.483116883
