,0.12
0.940063091, 0.183251232
0.881703470, 0.143842365
0.834384858, 0.096551724
0.783911672, 0.009852217
0.735015773, -0.100492611
0.682965300, -0.218719212
0.619873817, -0.447290640
0.575709779, -0.486699507
0.515772871, -0.533990148
0.470031546, -0.581280788
0.414826498, -0.565517241
0.354889590, -0.526108374
0.312302839, -0.526108374
0.257097792, -0.423645320
0.205047319, -0.258128079
0.152996845, -0.155665025
0.105678233, 0.049261084
0.061514196, 0.269950739
0.020504732, 0.664039409
0.034700315, -0.991133005
0.080441640, -0.983251232
0.127760252, -1.054187192
0.171924290, -1.046305419
0.235015773, -1.140886700
0.276025237, -1.172413793
0.329652997, -1.117241379
0.381703470, -1.038423645
0.436908517, -0.967487685
0.490536278, -0.620689655
0.548895899, -0.384236453
0.594637224, -0.218719212
0.641955836, -0.061083744
0.689274448, 0.049261084
0.738170347, 0.128078818
0.783911672, 0.230541872
0.843848580, 0.285714286
0.886435331, 0.333004926
0.947949527, 0.372413793
