,0.03
0.9500,-0.0894
0.9000,-0.1135
0.8500,-0.1458
0.8000,-0.1829
0.7500,-0.2305
0.7000,-0.2931
0.6500,-0.3605
0.6000,-0.4493
0.5500,-0.5487
0.5000,-0.6616
0.4500,-0.7992
0.4000,-0.9262
0.3500,-1.0418
0.3000,-1.1382
0.2500,-1.2425
0.2000,-1.2935
0.1500,-1.4197
0.1000,-1.7013
0.0750,-2.3476
0.0600,-2.6460
0.0500,-2.6502
0.0400,-2.7076
0.0300,-2.7543
0.0250,-2.7636
0.0200,-2.7889
0.0150,-2.8212
0.0100,-2.8915
0.0050,-3.2829
0.0000,-3.1462
0.0000,-3.1462
0.0050,0.6873
0.0100,0.9725
0.0150,1.0057
0.0200,0.9901
0.0250,0.9581
0.0310,0.9280
0.0400,0.8593
0.0500,0.8133
0.0600,0.7599
0.0750,0.7041
0.1000,0.6232
0.1500,0.5383
0.2000,0.4759
0.2500,0.4336
0.3000,0.4039
0.3500,0.3741
0.4000,0.3449
0.4500,0.3330
0.5050,0.3153
0.5500,0.2954
0.6000,0.2797
0.6500,0.2629
0.7000,0.2389
0.7500,0.2261
0.8000,0.2060
0.8500,0.1845
0.9000,0.1511
0.9500,0.1046
