,0.03
0.9500,-0.5835
0.9000,-0.6153
0.8500,-0.6406
0.8000,-0.6557
0.7500,-0.6096
0.7000,-0.6731
0.6500,-0.5938
0.6000,-0.6149
0.5500,-0.6340
0.5000,-0.6410
0.4500,-0.6189
0.4000,-0.6776
0.3500,-0.6264
0.3000,-0.6786
0.2500,-0.7066
0.2000,-0.7095
0.1500,-0.7821
0.1000,-0.7146
0.0750,-0.7118
0.0600,-0.6846
0.0500,-0.7525
0.0400,-0.8161
0.0300,-0.7178
0.0250,-0.8422
0.0200,-0.7665
0.0150,-0.7925
0.0100,-0.8465
0.0050,-1.1016
0.0000,-0.5905
0.0000,-0.5905
0.0050,0.9640
0.0100,0.9933
0.0150,0.9638
0.0200,0.9180
0.0250,0.8788
0.0310,0.8110
0.0400,0.7611
0.0500,0.6994
0.0600,0.6401
0.0750,0.5819
0.1000,0.5237
0.1500,0.4458
0.2000,0.3870
0.2500,0.3508
0.3000,0.3199
0.3500,0.2829
0.4000,0.2666
0.4500,0.2259
0.5050,0.2143
0.5500,0.1829
0.6000,0.1576
0.6500,0.1173
0.7000,0.0968
0.7500,0.0529
0.8000,0.0316
0.8500,-0.0150
0.9000,-0.0961
0.9500,-0.1838
