,0.05
0.95,-0.0687
0.9,-0.2029
0.85,-0.3638
0.8,-0.4728
0.75,-0.5504
0.7,-0.5507
0.65,-0.5071
0.6,-0.4272
0.55,-0.4266
0.5,-0.4421
0.45,-0.4797
0.4,-0.5035
0.35,-0.5015
0.3,-0.6192
0.25,-0.7463
0.2,-0.7732
0.15,-0.8069
0.1,-0.863
0.075,-0.8978
0.06,-0.8849
0.05,-0.7924
0.04,-0.8317
0.03,-0.8468
0.025,-0.82
0.02,-0.7862
0.015,-0.7139
0.01,-0.6273
0.005,-0.4517
0,0.7413
0,0.7413
0.005,0.8956
0.01,0.6991
0.015,0.5842
0.02,0.5197
0.025,0.467
0.031,0.429
0.04,0.3553
0.05,0.2878
0.06,0.2982
0.075,0.2734
0.1,0.2354
0.15,0.2003
0.2,0.1897
0.25,0.1893
0.3,0.1658
0.35,0.142
0.4,0.1562
0.45,0.1542
0.505,0.1395
0.55,0.1285
0.6,0.1231
0.65,0.1494
0.7,0.1653
0.75,0.1576
0.8,0.1552
0.85,0.1238
0.9,0.1162
0.95,0.1057
