,0.03
0.9500,0.0141
0.9000,-0.0485
0.8500,-0.1129
0.8000,-0.1720
0.7500,-0.2375
0.7000,-0.3085
0.6500,-0.3750
0.6000,-0.4484
0.5500,-0.5364
0.5000,-0.8921
0.4500,-1.0150
0.4000,-1.0365
0.3500,-1.0715
0.3000,-1.1298
0.2500,-1.2127
0.2000,-1.2789
0.1500,-1.3937
0.1000,-1.5543
0.0750,-1.6726
0.0600,-1.7491
0.0500,-1.8125
0.0400,-1.9119
0.0300,-2.0074
0.0250,-2.0810
0.0200,-2.1755
0.0150,-2.2703
0.0100,-2.4211
0.0050,-2.6678
0.0000,-1.7448
0.0000,-1.7448
0.0050,0.9109
0.0100,1.0024
0.0150,0.9656
0.0200,0.9237
0.0250,0.8724
0.0310,0.8308
0.0400,0.7554
0.0500,0.6980
0.0600,0.6534
0.0750,0.5994
0.1000,0.5299
0.1500,0.4531
0.2000,0.4022
0.2500,0.3715
0.3000,0.3440
0.3500,0.3237
0.4000,0.3136
0.4500,0.2966
0.5050,0.2832
0.5500,0.2743
0.6000,0.2664
0.6500,0.2524
0.7000,0.2384
0.7500,0.2340
0.8000,0.2206
0.8500,0.2056
0.9000,0.1896
0.9500,0.1640
