,0.08
0.9500,0.0697
0.9000,-0.1062
0.8500,-0.2786
0.8000,-0.2758
0.7500,-0.2809
0.7000,-0.2806
0.6500,-0.2915
0.6000,-0.3068
0.5500,-0.3288
0.5000,-0.3663
0.4500,-0.4181
0.4000,-0.4683
0.3500,-0.4974
0.3000,-0.4820
0.2500,-0.4557
0.2000,-0.4209
0.1500,-0.3529
0.1000,-0.2350
0.0750,-0.1434
0.0600,-0.0571
0.0500,0.0169
0.0400,0.1088
0.0300,0.2315
0.0250,0.3033
0.0200,0.4027
0.0150,0.5327
0.0100,0.6737
0.0050,0.8873
0.0000,0.5185
0.0000,0.5185
0.0050,-0.9609
0.0100,-0.8063
0.0150,-0.7155
0.0200,-0.6551
0.0250,-0.5972
0.0310,-0.5499
0.0400,-0.4845
0.0500,-0.4328
0.0600,-0.3863
0.0750,-0.3408
0.1000,-0.2703
0.1500,-0.1940
0.2000,-0.1371
0.2500,-0.0788
0.3000,-0.0497
0.3500,-0.0312
0.4000,0.0002
0.4500,0.0174
0.5050,0.0262
0.5500,0.0477
0.6000,0.0507
0.6500,0.0727
0.7000,0.0852
0.7500,0.0968
0.8000,0.1146
0.8500,0.1246
0.9000,0.1344
0.9500,0.1476
