,0.11
0.898734177,-0.483347679
0.849635018,-0.503805076
0.805006651,-0.50349433
0.759627317,-0.48930363
0.715734005,-0.489013601
0.672582113,-0.481773237
0.630925788,-0.474553589
0.591496904,-0.495083492
0.550572452,-0.480918687
0.511881806,-0.466795315
0.477652405,-0.494296271
0.444161241,-0.466318839
0.409925476,-0.466075422
0.378668118,-0.452003841
0.346666158,-0.479520334
0.289451894,-0.458317149
0.263118531,-0.465070679
0.237429428,-0.485693806
0.213016496,-0.485533254
0.189886938,-0.492302322
0.167398553,-0.506016546
0.14779596,-0.519751487
0.127547048,-0.60976403
0.109545842,-0.672047739
0.093792343,-0.769026155
0.079000088,-1.053254487
0.065169078,-1.386041944
0.05230137,-1.691074671
0.042643643,-1.88517134
0.033950247,-2.058489509
0.024609504,-2.403768506
0.017842713,-2.65948856
0.011070777,-2.864064603
0.005910521,-3.049798116
0.002672753,-3.074024226
0.001050782,-3.205921938
0,-3.14700426
0,-3.14700426
0.001013732,-2.788694482
0.002598653,-1.642189263
0.007704364,-0.470249767
0.017302399,0.320275817
0.030430487,0.666906976
0.045162021,0.82628822
0.068239091,0.805323273
0.119865326,0.784192596
0.151305428,0.72155153
0.189170636,0.589521048
0.2260746,0.478320857
0.270054105,0.353183741
0.314365084,0.255790997
0.370964355,0.179119783
0.42311829,0.102474465
0.479762109,0.095156414
0.5431328,0.143249422
0.610983829,0.246794922
0.679589005,0.329530847
0.754125539,0.356757311
0.832365988,0.363153484
0.911300125,0.265501786
0.997651641,-0.400818917
