,0.11
0.95,0.029023126
0.9,-0.017880559
0.85,-0.071519786
0.8,-0.145395051
0.76,-0.205794331
0.715,-0.266213219
0.674560082,-0.367099281
0.633481967,-0.454514259
0.594055335,-0.528453252
0.556249853,-0.615878035
0.51762874,-0.71679351
0.482303853,-0.824483743
0.44322113,-0.932169075
0.409672761,-1.033123767
0.378523331,-1.161079451
0.347374968,
0.317026251,-1.416985919
0.289474164,-1.551701656
0.262322434,-1.666191159
0.235970883,-1.75370418
0.212016673,-1.888444428
0.186866191,-2.023184676
0.167305239,-2.10399647
0.145751034,-2.130820986
0.127392217,-2.110472199
0.109830913,-2.117094991
0.092671566,-2.110236896
0.077510268,-2.069666777
0.065940449,-1.880718654
0.052777202,-1.711991862
0.040413068,-1.523043739
0.03203917,-1.388082895
0.023665272,-1.286843879
0.01569173,-1.165378629
0.009716238,-0.956223881
0.005337374,-0.618922264
0.002953894,-0.254658872
0.000972903,
0,-0.045538439
0,-0.045538439
0.001006488,
0.005819294,0.905521036
0.015825537,
0.029420594,0.777187887
0.045810149,0.601701043
0.068192254,0.365466868
0.091770631,0.102241504
0.120935338,-0.046347292
0.152495252,-0.242187826
0.188442561,-0.404306531
0.227979749,-0.492275451
0.265915512,-0.532997537
0.300653755,-0.593945856
0.333792706,-0.573925512
0.370520469,-0.506717159
0.424810602,-0.432890915
0.486223597,-0.30511661
0.547163325,-0.103177813
0.611409389,0.092005834
0.682247904,0.280375504
0.756362423,0.374325036
0.83867032,0.414277486
0.919282919,0.40022795
1,0.069161856
