,0.11
0.95,0.068756274
0.9,0.036689132
0.85,-0.007477789
0.8,-0.051632592
0.76,-0.095805571
0.715,-0.14401686
0.674560082,-0.196263428
0.633481967,-0.252548305
0.594055335,-0.300777771
0.556249853,-0.344978016
0.51762874,-0.417400981
0.482303853,-0.477739314
0.44322113,-0.525983928
0.409672761,-0.566173129
0.378523331,-0.634597169
0.347374968,-0.743219499
0.317026251,-0.791491377
0.289474164,-0.799449845
0.262322434,-0.803376063
0.235970883,-0.819405089
0.212016673,-0.835431086
0.186866191,-0.80712657
0.167305239,-0.742525746
0.145751034,-0.64567904
0.127392217,-0.548835363
0.109830913,-0.439894937
0.092671566,-0.306767071
0.077510268,-0.125270382
0.065940449,0.052200116
0.052777202,0.225644423
0.040413068,0.358735936
0.03203917,0.479736758
0.023665272,0.62492805
0.01569173,
0.009716238,
0.005337374,0.753987312
0.002953894,
0.000972903,
0,0.53225598
0,0.53225598
0.001006488,
0.005819294,
0.015825537,-0.350870372
0.029420594,-0.508188709
0.045810149,-0.766313294
0.068192254,-1.084948893
0.091770631,-1.343112861
0.120935338,-1.39161498
0.152495252,-1.524803437
0.188442561,-1.59350013
0.227979749,-1.529147724
0.265915512,-1.44462498
0.300653755,-1.408480146
0.333792706,-1.287639887
0.370520469,-1.110363276
0.424810602,-0.896878213
0.486223597,-0.635018268
0.547163325,-0.316718942
0.611409389,-0.071012233
0.682247904,0.029506213
0.756362423,0.109854322
0.83867032,0.198251783
0.919282919,0.282592758
1,0.112914106
