x/c,y/c
0.997920998,0.338063439
0.931392931,0.131051753
0.853430353,0.010851419
0.804573805,-0.149415693
0.753638254,-0.296327212
0.702702703,-0.456594324
0.653846154,-0.616861436
0.600831601,-0.757095159
0.548856549,-0.870617696
0.498960499,-0.950751252
0.448024948,-1.050918197
0.396049896,-1.137729549
0.349272349,-1.24457429
0.298336798,-1.297996661
0.247401247,-1.398163606
0.202702703,-1.484974958
0.147609148,-1.591819699
0.123700624,-1.685308848
0.096673597,-1.838898164
0.071725572,-1.999165275
0.036382536,-2.346410684
0.018711019,-2.393155259
0.003118503,-1.939065109
0.001039501,-0.156093489
0.004158004,1.239565943
0.03014553,1.085976628
0.048856549,0.932387312
0.072765073,0.792153589
0.095634096,0.698664441
0.11954262,0.585141903
0.144490644,0.511686144
0.191268191,0.404841402
0.294178794,0.257929883
0.374220374,0.204507513
0.436590437,0.164440735
0.502079002,0.124373957
0.612266112,0.177796327
0.656964657,0.217863105
0.708939709,0.237896494
0.8004158,0.271285476
0.834719335,0.284641068
0.876299376,0.304674457
0.935550936,0.291318865
