,0.85
1,-0.167
0.928,-0.274
0.848,-0.326
0.8,-0.347
0.72,-0.388
0.649,-0.784
0.599,-0.91
0.549,-0.861
0.498,-0.822
0.45,-0.78
0.4,-0.738
0.35,-0.716
0.299,-0.682
0.25,-0.651
0.2,-0.634
0.15,-0.562
0.101,-0.53
0.075,-0.508
0.051,-0.537
0.031,-0.452
0.02,-0.212
0.015,-0.137
0.011,0.061
0.007,0.376
0.004,0.704
0.0004,1.169
0,1.156
0.001,0.575
0.003,-0.051
0.005,0.09
0.011,0.048
0.019,0.031
0.05,0.125
0.1,0.1
0.147,0.028
0.199,-0.04
0.299,-0.18
0.4,-0.267
0.499,-0.258
0.599,-0.065
0.729,0.07
0.868,0.104
0.948,0.069
