,0.754
0.9701,0.1891
0.9102,0.0952
0.8797,0.0555
0.8503,0.0165
0.8198,-0.013
0.79,-0.0449
0.7304,-0.0921
0.6994,-0.1263
0.6696,-0.1515
0.6396,-0.1731
0.6095,-0.1915
0.5792,-0.2017
0.5494,-0.2226
0.5192,-0.2275
0.4893,-0.2506
0.4591,-0.2664
0.3994,-0.9516
0.3691,-1.1655
0.3393,-1.1899
0.3102,-1.2258
0.2793,-1.2294
0.2492,-1.2278
0.2293,-1.2165
0.2096,-1.2062
0.1895,-1.1968
0.1697,-1.1653
0.1496,-1.1219
0.1293,-1.0815
0.1098,-1.0351
0.0995,-1.019
0.0893,-0.9991
0.0803,-0.9892
0.0505,-0.8561
0.0298,-0.7626
0.0191,-0.5507
0,1.0651
0.0197,0.485
0.0296,0.2767
0.059,0.0237
0.0697,-0.0325
0.0989,-0.1491
0.1195,-0.1849
0.1801,-0.2631
0.1997,-0.285
0.22,-0.2878
0.24,-0.2817
0.2902,-0.277
0.32,-0.2356
0.3495,-0.2846
0.4103,-0.2609
0.4396,-0.2154
0.4698,-0.2122
0.5001,-0.173
0.5302,-0.1475
0.5899,-0.1263
0.6201,-0.101
0.6496,-0.0968
0.7099,-0.0607
0.7393,-0.0378
0.7699,-0.0279
0.799,0.0053
0.8298,0.0213
0.8598,0.0573
0.8895,0.0828
0.9195,0.1206
0.9497,0.1606
