,0.5
0.9489,0.072
0.8993,0.0075
0.85,-0.0583
0.8003,-0.1196
0.7489,-0.1892
0.6996,-0.2444
0.6495,-0.3086
0.5994,-0.3681
0.5492,-0.4341
0.4997,-0.5097
0.4496,-0.5801
0.3994,-0.6628
0.3499,-0.7611
0.2997,-0.8675
0.2501,-0.9909
0.1994,-1.153
0.1503,-1.33
0.1012,-1.6249
0.0763,-1.7681
0.0515,-2.4861
0.0271,-3.1774
0.0135,-3.2554
0,-0.5691
0,-0.5691
0.0122,1.032
0.0251,0.868
0.051,0.6066
0.0755,0.4521
0.1,0.3433
0.1504,0.2023
0.2004,0.1197
0.2501,0.0675
0.3002,0.0367
0.3507,0.0104
0.4,0.0026
0.4503,-0.0022
0.5,-0.0133
0.5506,-0.0177
0.5997,-0.0134
0.6502,-0.0159
0.7003,-0.0024
0.7497,0.0016
0.7998,0.0206
0.8503,0.0229
0.9,0.0213
0.9483,0.0685
