,0.4
0.9489,0.0785
0.8993,0.038
0.85,0.005
0.8003,-0.015
0.7487,-0.0399
0.6996,-0.0543
0.6495,-0.07
0.5994,-0.0834
0.5492,-0.0944
0.4997,-0.114
0.4496,-0.1195
0.3994,-0.1298
0.3499,-0.1315
0.2999,-0.1319
0.2501,-0.128
0.1994,-0.1158
0.1503,-0.0651
0.1012,0.0162
0.0763,0.0925
0.0515,0.2301
0.0271,0.4655
0.0135,0.7381
0,0.5237
0,0.5237
0.0122,-1.2997
0.0251,-1.3411
0.051,-1.1967
0.0755,-1.0727
0.1,-0.9891
0.1504,-0.8544
0.2004,-0.7666
0.2501,-0.6763
0.3002,-0.5976
0.3507,-0.5417
0.4,-0.4852
0.4503,-0.4264
0.5,-0.3834
0.5506,-0.3353
0.5997,-0.2886
0.6502,-0.2512
0.7003,-0.1982
0.7497,-0.1561
0.7998,-0.1027
0.8503,-0.0572
0.9,-0.0043
0.9483,0.0802
