,0.051
0.98,-0.479
0.949,-0.519
0.8988,-0.565
0.8488,-0.604
0.7992,-0.642
0.749,-0.655
0.6986,-0.682
0.649,-0.688
0.5994,-0.695
0.5492,-0.7
0.4992,-0.715
0.448,-0.72
0.399,-0.727
0.3498,-0.76
0.2988,-0.786
0.2744,-0.812
0.2492,-0.825
0.2244,-0.851
0.1996,-0.87
0.1744,-0.91
0.1492,-0.955
0.1258,-1.007
0.0996,-1.0059
0.075,-1.235
0.049,-1.529
0.0294,-2.2
0.017,-3.01
0.0094,-3.881
0.0044,-4.698
0,-3.695
0.0036,-1.67
0.0092,0.003
0.0166,0.602
0.0292,0.883
0.0494,0.948
0.0738,0.902
0.0996,0.824
0.1494,0.733
0.1998,0.642
0.249,0.609
0.2996,0.557
0.349,0.504
0.3998,0.466
0.449,0.413
0.4998,0.381
0.5448,0.348
0.6494,0.27
0.7492,0.179
0.8494,0.049
0.899,-0.03
0.9486,-0.16
0.9792,-0.291
1,-0.466
