,0.051
0.98,0.165
0.949,0.1
0.8988,0.028
0.8488,-0.024
0.7992,-0.076
0.749,-0.082
0.6986,-0.115
0.649,-0.128
0.5994,-0.161
0.5492,-0.161
0.4992,-0.173
0.448,-0.194
0.399,-0.173
0.3498,-0.154
0.2988,-0.114
0.2744,-0.096
0.2492,-0.063
0.2244,-0.024
0.1996,0.036
0.1744,0.1
0.1492,0.178
0.1258,0.263
0.0996,0.374
0.075,0.498
0.049,0.713
0.0294,0.896
0.017,1
0.0094,0.974
0.0044,-0.765
0,-2.397
0.0036,-4.052
0.0092,-3.77
0.0166,-3.198
0.0292,-2.468
0.0494,-1.861
0.0738,-1.407
0.0996,-1.143
0.1494,-0.799
0.1998,-0.591
0.249,-0.427
0.2996,-0.33
0.349,-0.258
0.3998,-0.206
0.449,-0.16
0.4998,-0.115
0.5448,-0.082
0.6494,0.002
0.7492,0.055
0.8494,0.107
0.899,0.153
0.9486,0.185
0.9792,0.224
1,0.198
