,0.103
0.98,-0.443
0.949,-0.475
0.8988,-0.508
0.8488,-0.525
0.7992,-0.541
0.749,-0.574
0.6986,-0.590
0.649,-0.606
0.5994,-0.623
0.5492,-0.639
0.4992,-0.672
0.448,-0.705
0.399,-0.754
0.3498,-0.820
0.2988,-0.902
0.27444,-0.934
0.2492,-0.967
0.2244,-1.098
0.1996,-1.082
0.1744,-1.147
0.1492,-1.229
0.1258,-1.361
0.0996,-1.639
0.075,-1.951
0.049,-1.984
0.0294,-1.984
0.017,-2.000
0.0094,-2.115
0.0044,-2.410
0.0001,-2.426
0.0001,-1.279
0.0086,0.066
0.0092,0.771
0.0166,0.951
0.0292,0.951
0.0494,0.853
0.0738,0.754
0.0996,0.656
0.149,0.557
0.1908,0.476
0.249,0.426
0.2996,0.394
0.349,0.361
0.3998,0.312
0.442,0.295
0.4998,0.262
0.5448,0.230
0.6494,0.180
0.7492,0.098
0.8404,0.016
0.899,-0.049
0.9486,-0.164
0.9792,-0.279
1,-0.443
