,0.103
0.98,-0.029
0.949,-0.045
0.8988,-0.029
0.8488,-0.061
0.7992,-0.077
0.749,-0.109
0.6986,-0.141
0.649,-0.174
0.5994,-0.190
0.5492,-0.190
0.4992,-0.222
0.448,-0.222
0.399,-0.222
0.3498,-0.206
0.2988,-0.174
0.27444,-0.158
0.2492,-0.093
0.2244,-0.093
0.1996,-0.013
0.1744,0.051
0.1492,0.116
0.1258,0.196
0.0996,0.325
0.075,0.453
0.049,0.630
0.0294,0.823
0.017,0.968
0.0094,1.000
0.0044,0.920
0.0001,0.212
0.0001,-0.929
0.0086,-1.797
0.0092,-1.508
0.0166,-1.331
0.0292,-1.283
0.0494,-1.283
0.0738,-1.331
0.0996,-1.283
0.149,-1.042
0.1908,-0.881
0.249,-0.752
0.2996,-0.624
0.349,-0.527
0.3998,-0.447
0.442,-0.350
0.4998,-0.286
0.5448,-0.254
0.6494,-0.158
0.7492,-0.093
0.8404,0.045
0.899,-0.013
0.9486,-0.013
0.9792,-0.013
1,-0.029
