,0.140
0.98,-0.438
0.949,-0.472
0.8988,-0.505
0.8488,-0.538
0.7992,-0.572
0.749,-0.605
0.6986,-0.572
0.649,-0.605
0.5994,-0.639
0.5492,-0.605
0.4992,-0.672
0.448,-0.672
0.399,-0.706
0.3498,-0.773
0.2988,-0.806
0.27444,-0.839
0.2492,-0.839
0.2244,-0.873
0.1996,-1.007
0.1744,-1.040
0.1492,-1.174
0.1258,-1.241
0.0996,-1.274
0.075,-1.241
0.049,-1.241
0.0294,-1.274
0.017,-1.308
0.0094,-1.475
0.0044,-1.709
0.0001,-1.609
0.0001,-0.672
0.0086,0.365
0.0092,0.866
0.0166,1.000
0.0292,0.933
0.0494,0.833
0.0738,0.699
0.0996,0.632
0.149,0.532
0.1908,0.431
0.249,0.398
0.2996,0.365
0.349,0.331
0.3998,0.298
0.442,0.204
0.4998,0.197
0.5448,0.197
0.6494,0.164
0.7492,0.097
0.8404,-0.003
0.899,-0.070
0.9486,-0.204
0.9792,-0.304
1,-0.438
