,0.059
0.98,-0.41
0.949,-0.489
0.8988,-0.482
0.8488,-0.504
0.7992,-0.511
0.749,-0.518
0.6986,-0.525
0.649,-0.532
0.5994,-0.525
0.5492,-0.532
0.4992,-0.525
0.448,-0.532
0.399,-0.532
0.3498,-0.554
0.2988,-0.568
0.27444,-0.612
0.2492,-0.64
0.2244,-0.719
0.1996,-0.784
0.1744,-0.935
0.1492,-1.065
0.1258,-1.281
0.0996,-1.532
0.075,-1.892
0.049,-2.388
0.0294,-2.935
0.017,-3.849
0.0094,-4.768
0.0044,-5.302
0.0001,-5.468
0.0001,-3.604
0.0086,-1.201
0.0092,0.288
0.0166,0.82
0.0292,1.022
0.0494,1.014
0.0738,0.928
0.0996,0.849
0.149,0.727
0.1908,0.655
0.249,0.604
0.2996,0.547
0.349,0.511
0.3998,0.468
0.442,0.432
0.4998,0.396
0.5448,0.36
0.6494,0.295
0.7492,0.216
0.8404,0.108
0.899,0.029
0.9486,-0.094
0.9792,-0.209
1,-0.381
