,0.106
0.950562161,-0.171432235
0.901943299,-0.244665739
0.852283029,-0.34105923
0.799489374,-0.400333584
0.750350826,-0.455069719
0.70068852,-0.514344073
0.649460031,-0.564417589
0.597706766,-0.665425853
0.550664266,-0.849844524
0.508322352,-1.029772821
0.486371357,-1.256442142
0.466509285,-1.358034131
0.432527133,-1.505716433
0.39906874,-1.681211774
0.376591951,-1.89849844
0.350977706,-1.972325238
0.31543548,-2.14766747
0.299753289,-2.263189901
0.283546323,-2.346361076
0.267342411,-2.37382962
0.250609651,-2.438359887
0.22551611,-2.530607499
0.201464995,-2.571805532
0.17321771,-2.61770446
0.148606189,-2.612592086
0.126077483,-2.542691075
0.104068462,-2.45888833
0.082591343,-2.379709927
0.066858253,-2.360848927
0.050300698,-2.323480989
0.033677506,-2.262943493
0.023384198,-2.105227827
0.013095963,-1.78986348
0.009105368,
0.005517636,-1.794401699
0.003532302,-1.544103497
0.001159319,-1.08529842
0,-0.288275223
0.001277425,
0.002944671,0.541185353
0.008171753,
0.014546923,1.018248568
0.031836221,1.008693668
0.049117171,0.82296401
0.073175412,0.595471733
0.099312396,0.395754218
0.129084126,0.140305364
0.168785875,-0.082849647
0.209008327,-0.292112494
0.252368235,-0.464371034
0.299905988,-0.613546141
0.349541827,-0.670081296
0.406503146,-0.647964356
0.461906427,-0.579470026
0.525681687,-0.478691424
0.595733894,-0.313152892
0.668400819,-0.166264838
0.744732011,-0.028644606
0.826286528,0.104246022
0.908348514,0.158321878
1,-0.005568349
