,0.17
1,0.233429395
0.98,0.162824207
0.95,0.112391931
0.9,0.061959654
0.85,0.011527378
0.8,-0.069164265
0.75,-0.129682997
0.7,-0.220461095
0.65,-0.260806916
0.6,-0.341498559
0.55,-0.391930836
0.5,-0.452449568
0.44,-0.523054755
0.39,-0.543227666
0.34,-0.502881844
0.3,-0.442363112
0.24,-0.371757925
0.19,-0.250720461
0.16,-0.159942363
0.1,0.011527378
0.07,0.132564841
0.05,0.314121037
0.03,0.515850144
0.02,0.677233429
0.01,0.858789625
0.008,0.969740634
0.003,1.010086455
0,-0.018731988
0,-0.018731988
0.009,-1.047550432
0.01,-1.168587896
0.02,-1.108069164
0.036,-0.976945245
0.05,-0.876080692
0.08,-0.81556196
0.13,-0.825648415
0.17,-0.66426513
0.23,-0.66426513
0.28,-0.654178674
0.34,-0.623919308
0.4,-0.583573487
0.45,-0.472622478
0.52,-0.351585014
0.57,-0.250720461
0.63,-0.149855908
0.69,-0.028818444
0.74,0.011527378
0.8,0.122478386
0.86,0.182997118
0.955,0.223342939
1,0.233429395
