,0.320,0.420,0.530,0.550
0.015,0.960,1.000,1.030,1.040
0.028,1.010,1.030,1.050,1.060
0.052,0.970,1.000,1.020,1.020
0.080,0.910,0.920,0.940,0.950
0.106,0.840,0.860,0.880,0.880
0.154,0.730,0.750,0.780,0.780
0.204,0.640,0.660,0.680,0.690
0.251,0.560,0.600,0.610,0.620
0.300,0.510,0.520,0.540,0.560
0.352,0.420,0.450,0.460,0.480
0.401,0.360,0.380,0.400,0.400
0.452,0.300,0.320,0.340,0.340
0.500,0.250,0.280,0.280,0.300
0.555,0.200,0.220,0.240,0.240
0.602,0.130,0.150,0.160,0.160
0.655,0.060,0.070,0.090,0.100
0.707,0.020,0.020,0.040,0.040
0.755,-0.020,-0.010,0.010,0.000
0.852,-0.120,-0.120,-0.110,-0.110
0.904,-0.250,-0.250,-0.240,-0.240
0.955,-0.380,-0.390,-0.400,-0.400
