,0.87
1,-0.08
0.947,-0.18
0.902,-0.27
0.852,-0.37
0.802,-0.51
0.752,-0.7
0.701,-0.72
0.651,-0.78
0.6,-0.8
0.551,-0.74
0.5,-0.7
0.45,-0.64
0.4,-0.59
0.352,-0.54
0.298,-0.48
0.251,-0.4
0.2,-0.3
0.15,-0.25
0.101,-0.17
0.075,-0.06
0.051,0.06
0.025,0.13
0.013,0.32
0.006,0.66
0,1.1
0.013,-0.89
0.026,-0.84
0.05,-0.65
0.074,-0.25
0.101,-0.05
0.151,-0.03
0.2,-0.04
0.252,-0.03
0.302,-0.03
0.352,-0.04
0.4,-0.03
0.451,0.01
0.501,0.04
0.551,0.05
0.601,0.08
0.652,0.11
0.702,0.14
0.752,0.16
0.801,0.18
0.851,0.15
0.902,0.13
0.951,0.03
