,0.76
1,0.01
0.947,0
0.902,-0.17
0.852,-0.24
0.802,-0.27
0.752,-0.3
0.701,-0.32
0.651,-0.32
0.6,-0.32
0.551,-0.32
0.5,-0.32
0.45,-0.28
0.4,-0.25
0.352,-0.21
0.298,-0.14
0.251,-0.08
0.2,0.02
0.15,0.11
0.101,0.22
0.075,0.32
0.051,0.46
0.025,0.62
0.013,0.84
0.006,1.07
0,0.34
0.013,-0.96
0.026,-0.96
0.05,-0.97
0.074,-0.96
0.101,-0.94
0.151,-0.88
0.2,-0.8
0.252,-0.72
0.302,-0.62
0.352,-0.54
0.4,-0.46
0.451,-0.38
0.501,-0.31
0.551,-0.28
0.601,-0.21
0.652,-0.16
0.702,-0.11
0.752,-0.07
0.801,-0.04
0.851,0
0.902,0.01
0.951,0.03
