,0.310,0.420,0.520,0.550,0.570,0.600,0.630,0.650,0.690
0.005,0.580,0.650,0.740,0.770,0.790,0.840,0.870,0.890,0.930
0.013,0.960,0.960,1.030,1.040,1.050,1.060,1.080,1.100,1.110
0.025,1.020,1.030,1.070,1.070,1.080,1.080,1.090,1.100,1.110
0.050,0.890,0.910,0.940,0.940,0.950,0.950,0.950,0.960,0.970
0.075,0.770,0.790,0.820,0.820,0.830,0.840,0.840,0.850,0.860
0.100,0.700,0.720,0.750,0.750,0.760,0.770,0.770,0.780,0.790
0.150,0.590,0.610,0.640,0.640,0.650,0.660,0.660,0.670,0.680
0.200,0.500,0.520,0.550,0.550,0.560,0.560,0.570,0.580,0.590
0.250,0.440,0.460,0.490,0.490,0.500,0.500,0.510,0.520,0.530
0.300,0.360,0.370,0.410,0.410,0.420,0.420,0.420,0.430,0.450
0.350,0.300,0.310,0.340,0.340,0.350,0.350,0.350,0.360,0.380
0.400,0.250,0.260,0.290,0.290,0.290,0.300,0.300,0.300,0.320
0.450,0.200,0.210,0.250,0.240,0.250,0.260,0.250,0.260,0.280
0.500,0.170,0.180,0.210,0.210,0.220,0.220,0.220,0.230,0.240
0.550,0.140,0.160,0.190,0.190,0.190,0.200,0.180,0.190,0.220
0.600,0.120,0.130,0.160,0.160,0.170,0.170,0.170,0.180,0.200
0.700,0.070,0.080,0.110,0.110,0.120,0.120,0.120,0.130,0.150
0.750,0.040,0.060,0.090,0.080,0.090,0.100,0.090,0.110,0.130
0.800,0.010,0.030,0.070,0.060,0.060,0.070,0.070,0.080,0.100
0.850,-0.060,-0.040,0.000,0.000,-0.010,0.000,0.010,0.010,0.040
0.950,-0.310,-0.300,-0.260,-0.270,-0.270,-0.260,-0.260,-0.250,-0.220
