,0.15
1,0.11588785
0.971662864,0.074766355
0.942057984,0.013084112
0.913465963,-0.017757009
0.826674176,-0.130841121
0.623502907,-0.480373832
0.533672544,-0.685981308
0.511212089,-0.727102804
0.474451328,-0.768224299
0.421353088,-0.829906542
0.321291037,-0.973831776
0.235517837,-1.076635514
0.114105563,-1.580373832
0.069279161,-2.001869159
0.042867507,-2.526168224
0.026782049,-3.451401869
0.013798173,-4.510280374
0.005699121,-8.437383178
0,-9.198130841
0.004188902,0.65046729
0.015333212,0.979439252
0.034746499,0.958878505
0.058262771,0.876635514
0.080754728,0.804672897
0.099172339,0.691588785
0.158450832,0.568224299
0.218745048,0.465420561
0.298443959,0.372897196
0.398577606,0.259813084
0.498691207,0.218691589
0.596759043,0.187850467
0.694815423,0.198130841
0.795936155,0.208411215
0.898066881,0.259813084
0.978758604,0.270093458
