,6.00E-02
0.944375773,-0.542600897
0.911001236,-0.572496263
0.873918418,-0.590433483
0.835599506,-0.602391629
0.800988875,-0.674140508
0.762669963,-0.710014948
0.726823239,-0.745889387
0.669962917,-0.793721973
0.600741656,-0.901345291
0.522867738,-1.002989537
0.47960445,-1.128550075
0.446229913,-1.182361734
0.414091471,-1.23019432
0.367119901,-1.343796712
0.336217553,-1.385650224
0.307787392,-1.427503737
0.278121137,-1.463378176
0.248454883,-1.505231689
0.217552534,-1.523168909
0.190358467,-1.547085202
0.088998764,-1.523168909
0.072929543,-1.511210762
0.065512979,-1.499252616
0.054388133,-1.493273543
0.044499382,-1.487294469
0.035846724,-1.481315396
0.025957973,-1.475336323
0.018541409,-1.475336323
0.013597033,-1.46935725
0.016069221,0.862481315
0.033374536,0.79671151
0.064276885,0.635276532
0.0815822,0.599402093
0.111248455,0.509715994
0.207663782,0.348281016
0.26328801,0.276532138
0.320148331,0.228699552
0.39184178,0.180866966
0.504326329,0.073243647
0.61433869,0.013452915
0.726823239,0.013452915
0.856613103,0.019431988
0.927070457,0.019431988
