,0.757
1,0.2533
0.95,0.1764
0.925,0.1294
0.9,0.0718
0.86,-0.0559
0.84,-0.1246
0.82,-0.1947
0.78,-0.336
0.76,-0.392
0.74,-0.4496
0.72,-0.4819
0.7,-0.4989
0.68,-0.499
0.66,-0.4949
0.64,-0.49
0.62,-0.4929
0.6,-0.5056
0.58,-0.5524
0.56,-0.594
0.54,-0.625
0.52,-0.6334
0.5,-0.68
0.475,-0.6689
0.45,-0.6815
0.425,-0.6525
0.4,-0.6295
0.375,-0.6162
0.35,-0.5981
0.325,-0.5648
0.3,-0.5571
0.2375,-0.8224
0.225,-0.8316
0.2,-0.8368
0.18,-0.8402
0.16,-0.8206
0.14,-0.808
0.12,-0.77
0.1,-0.7619
0.09,-0.7836
0.08,-0.7801
0.07,-0.8656
0.06,-0.9053
0.05,-0.9233
0.04,-0.9187
0.03,-0.8424
0.01,-0.4982
0.005,-0.0232
0,1.1056
0.005,0.8587
0.01,0.6045
0.02,0.3184
0.03,0.1396
0.04,0.0327
0.05,-0.0247
0.075,-0.0907
0.2,-0.2715
0.25,-0.3204
0.3,-0.3723
0.35,-0.4035
0.4,-0.4114
0.45,-0.3729
0.5,-0.3421
0.5625,-0.3504
0.6,-0.371
0.65,-0.3332
0.7,-0.1373
0.725,-0.0256
0.75,0.0599
0.775,0.1402
0.8,0.1904
0.825,0.2235
0.85,0.2442
0.9,0.2574
0.95,0.2644
1,0.2533
