,0.15
0.99,-0.053298075
0.95,-0.034741773
0.9,-0.049582255
0.85,-0.117572635
0.8,-0.185449033
0.75,-0.246703065
0.7,-0.307957097
0.65,-0.36926812
0.6,-0.423842796
0.55,-0.46517274
0.5,-0.486692579
0.45,-0.494967686
0.4,-0.490055053
0.35,-0.485028439
0.3,-0.493360537
0.25,-0.501635645
0.2,-0.509967743
0.15,-0.491696397
0.1,-0.479990425
0.075,-0.48758164
0.06,-0.474735846
0.05,-0.468512418
0.04,-0.468911356
0.025,-0.403143629
0.02,-0.323846215
0.015,-0.178325146
0.005,0.152565169
0,0.814573764
0.007,0.093077861
0.015,-0.191626868
0.02,-0.363580409
0.025,-0.436198466
0.04,-0.468854365
0.05,-0.468455427
0.06,-0.481358212
0.075,-0.487524649
0.1,-0.486498809
0.15,-0.498261772
0.2,-0.509910752
0.25,-0.501578653
0.3,-0.493417528
0.35,-0.478463064
0.4,-0.489941071
0.45,-0.48834532
0.5,-0.493314944
0.55,-0.471795106
0.6,-0.423671822
0.65,-0.375890486
0.7,-0.307900106
0.75,-0.253325431
0.8,-0.178883658
0.85,-0.117572635
0.9,-0.056261612
0.95,-0.028176399
0.99,-0.040110335
