,0.76
0.9501,-0.0479
0.9002,-0.1796
0.8002,-0.3987
0.75,-0.5032
0.7,-0.645
0.65,-0.7475
0.6002,-0.7684
0.5502,-0.7607
0.5002,-0.7431
0.4501,-0.7337
0.4003,-0.7459
0.3502,-0.7575
0.3001,-0.8462
0.2503,-0.8632
0.2003,-0.8635
0.1507,-0.8843
0.1003,-0.8889
0.0759,-0.872
0.0259,-0.6041
0.0132,-0.2142
0,1.1521
0,1.1521
0.0126,0.4164
0.0255,0.2654
0.0495,0.0907
0.0753,0.0006
0.1002,-0.0677
0.1503,-0.1452
0.1976,-0.2378
0.2503,-0.2931
0.3001,-0.33
0.3507,-0.3507
0.4001,-0.3435
0.4501,-0.3127
0.5001,-0.249
0.5497,-0.1442
0.6003,-0.0348
0.65,0.0598
0.7,0.1675
0.7501,0.2654
0.8001,0.3477
0.8501,0.4217
