,0.65
0.9501,-0.0837
0.9002,-0.2068
0.8002,-0.4071
0.75,-0.487
0.7,-0.5448
0.65,-0.5835
0.6002,-0.6025
0.5502,-0.6069
0.5002,-0.6128
0.4501,-0.6208
0.4003,-0.6369
0.3502,-0.6606
0.3001,-0.6754
0.2503,-0.697
0.2003,-0.7474
0.1507,-0.7973
0.1003,-0.9035
0.0759,-1.0212
0.0259,-1.2474
0.0132,-0.8413
0,1.0892
0,1.0892
0.0126,0.6372
0.0255,0.4403
0.0495,0.2716
0.0753,0.148
0.1002,0.0723
0.1503,-0.009
0.1976,-0.0956
0.2503,-0.1466
0.3001,-0.1801
0.3507,-0.2036
0.4001,-0.2067
0.4501,-0.196
0.5001,-0.1582
0.5497,-0.0851
0.6003,-0.0005
0.65,0.0732
0.7,0.1686
0.7501,0.2559
0.8001,0.3326
0.8501,0.4021
