,0.6
0.9501,-0.0792
0.9002,-0.1863
0.8002,-0.3287
0.75,-0.3763
0.7,-0.403
0.65,-0.4135
0.6002,-0.4055
0.5502,-0.3925
0.5002,-0.3719
0.4501,-0.3536
0.4003,-0.3354
0.3502,-0.3214
0.3001,-0.3124
0.2503,-0.2893
0.2003,-0.2625
0.1507,-0.2286
0.1003,-0.1978
0.0759,-0.172
0.0259,0.0651
0.0132,0.3911
0,0.7867
0,0.7267
0.0126,-0.4708
0.0255,-0.4395
0.0495,-0.4863
0.0753,-0.4567
0.1002,-0.4815
0.1503,-0.4648
0.1976,-0.5024
0.2503,-0.4948
0.3001,-0.4941
0.3507,-0.4802
0.4001,-0.4482
0.4501,-0.4068
0.5001,-0.3358
0.5497,-0.2357
0.6003,-0.1275
0.65,-0.0338
0.7,0.0756
0.7501,0.1712
0.8001,0.2495
0.8501,0.3158
