,0.6
0.9914,0.194
0.9198,0.088
0.8593,-0.016
0.7993,-0.101
0.739,-0.164
0.6792,-0.21
0.6193,-0.249
0.5593,-0.279
0.4997,-0.305
0.4492,-0.324
0.3992,-0.342
0.3496,-0.356
0.2996,-0.377
0.2491,-0.397
0.1994,-0.411
0.1493,-0.464
0.0992,-0.514
0.0745,-0.57
0.0492,-0.688
0.0342,-0.802
0.0198,-0.999
0.0094,-0.314
0.0046,0.447
0.0013,0.895
0,1.093
0.0019,0.833
0.0056,-0.348
0.0108,-0.0581
0.0251,-0.902
0.0499,-0.677
0.0999,-0.51
0.15,-0.455
0.2008,-0.412
0.2998,-0.376
0.3998,-0.352
0.4999,-0.306
0.601,-0.262
0.6999,-0.199
0.7995,-0.101
0.8997,0.049
