,0.49
0.9746,0.059025403
0.92,0.005140376
0.8996,-0.003372836
0.7995,-0.041963098
0.7501,-0.063257828
0.6999,-0.092691357
0.6499,-0.113986087
0.5996,-0.139350217
0.5497,-0.160680048
0.4998,-0.198205574
0.4497,-0.223558004
0.4001,-0.297567721
0.3499,-0.37164764
0.2999,-0.461923255
0.2498,-0.535968073
0.1995,-0.662751279
0.1494,-0.765235092
0.0997,-0.863637806
0.0667,-0.953574109
0.0497,-1.022929406
0.0297,-1.063834008
0.0096,-0.841116873
0,0.935956425
0.0095,0.570985813
0.0297,0.076379438
0.0493,-0.085554113
0.0664,-0.154230787
0.0995,-0.222509648
0.1501,-0.262068704
0.2002,-0.248901072
0.2498,-0.211328744
0.3004,-0.198137712
0.3501,-0.148462489
0.4001,-0.094694466
0.45,-0.053111241
0.5002,-0.064266403
0.5502,-0.042959973
0.6001,-0.021665243
0.6502,-0.008485911
0.7001,0.004728522
0.7504,0.001688758
0.8003,0.031075485
0.9,0.041250154
0.9203,0.061924763
0.9752,0.063083102
