,0.69
0.9746,0.085519428
0.92,0.060970181
0.8996,0.052759469
0.7995,0.011770376
0.7501,-0.00870575
0.6999,-0.037236018
0.6499,-0.045676981
0.5996,-0.070203203
0.5497,-0.082643607
0.4998,-0.111169271
0.4497,-0.135686283
0.4001,-0.19232316
0.3499,-0.277098882
0.2999,-0.361874603
0.2498,-0.426561018
0.1995,-0.539457163
0.1494,-0.616192556
0.0997,-0.628646775
0.0667,-0.59677558
0.0497,-0.572797352
0.0297,-0.428329337
0.0096,0.069724283
0,1.138397092
0.0095,0.142050391
0.0297,-0.347962902
0.0493,-0.524583017
0.0664,-0.556596967
0.0995,-0.59650849
0.1501,-0.58003641
0.2002,-0.507323483
0.2498,-0.430578879
0.3004,-0.361869998
0.3501,-0.27308102
0.4001,-0.196331812
0.45,-0.139694934
0.5002,-0.115182527
0.5502,-0.090674724
0.6001,-0.066171527
0.6502,-0.041663725
0.7001,-0.033222762
0.7504,-0.012732821
0.8003,0.011779586
0.9,0.052759469
0.9203,0.07301916
0.9752,0.093555151
