,0.676
0.9938,0.1449
0.9875,0.1328
0.975,0.1075
0.95,0.0567
0.925,-0.003
0.9,-0.057
0.875,-0.107
0.85,-0.1565
0.825,-0.2043
0.8,-0.2477
0.775,-0.292
0.75,-0.3348
0.7,-0.4265
0.6771,-0.4632
0.65,-0.5186
0.6196,-0.572
0.6,-0.6029
0.575,-0.6451
0.55,-0.6773
0.525,-0.7069
0.5,-0.7227
0.475,-0.7393
0.45,-0.7471
0.425,-0.7559
0.4,-0.7694
0.375,-0.7766
0.35,-0.7788
0.325,-0.7782
0.3,-0.79
0.28,-0.8126
0.25,-0.8259
0.2208,-0.8033
0.2,-0.7996
0.15,-0.8322
0.1,-0.8661
0.075,-0.8705
0.0625,-0.8833
0.05,-0.9122
0.0375,-0.9591
0.0271,-1.0355
0.0188,-1.0575
0.0146,-0.9606
0.0125,-0.9008
0.0104,-0.8367
0.0087,-0.7917
0.0073,-0.734
0.006,-0.6536
0.0048,-0.5533
0.0036,-0.4205
0.0026,-0.3002
0.0016,-0.0646
0.0008,0.0965
0.0002,0.4361
0,0.8359
0.0002,1.0348
0.0008,1.0962
0.0016,1.1135
0.0026,1.0946
0.0036,1.0456
0.0048,0.9847
0.006,0.9243
0.0073,0.8598
0.0087,0.8124
0.0104,0.7538
0.0125,0.6886
0.0146,0.6302
0.0186,0.5457
0.0271,0.4384
0.0375,0.3249
0.05,0.2296
0.0625,0.1678
0.075,0.119
0.1,0.0391
0.15,-0.0632
0.2,-0.1416
0.25,-0.2157
0.3,-0.2834
0.325,-0.3158
0.35,-0.3441
0.375,-0.3589
0.4,-0.3575
0.425,-0.3365
0.45,-0.3024
0.475,-0.2651
0.5,-0.2169
0.525,-0.1747
0.55,-0.1284
0.575,-0.0865
0.6,-0.0434
0.6196,-0.0158
0.65,0.0279
0.6771,0.0679
0.7,0.0984
0.75,0.1581
0.775,0.1828
0.8,
0.825,
0.85,0.2508
0.875,0.2639
0.9,0.277
0.925,0.2837
0.95,0.2808
0.975,0.2588
0.9875,0.2343
0.9938,0.2117
