,0.74
0.9938,0.0929
0.9875,0.0847
0.975,0.0698
0.95,0.0368
0.925,0.0014
0.9,-0.0347
0.875,-0.0718
0.85,-0.1141
0.825,-0.1522
0.8,-0.1935
0.775,-0.2323
0.75,-0.2747
0.7,-0.3631
0.6771,-0.4005
0.65,-0.4507
0.6196,-0.5031
0.6,-0.5448
0.575,-0.6147
0.55,-0.758
0.525,-1.1149
0.5,-1.2331
0.475,-1.221
0.45,-1.202
0.425,-1.1919
0.4,-1.172
0.375,-1.1544
0.35,-1.1339
0.325,-1.1305
0.3,-1.1139
0.28,--
0.25,-1.0788
0.2208,-1.0435
0.2,-1.0377
0.15,-1.0474
0.1,-1.0494
0.075,-1.1063
0.0625,-1.1365
0.05,-1.1609
0.0375,-1.1446
0.0188,-0.9049
0.0146,-0.8898
0.0125,-0.8422
0.0104,-0.7834
0.0087,-0.7446
0.0073,-0.6933
0.006,-0.606
0.0048,-0.51
0.0036,-0.3396
0.0026,-0.2611
0.0016,-0.0413
0.0008,0.1158
0.0002,0.4363
0,0.8386
0.0002,1.0377
0.0008,1.1049
0.0016,1.1345
0.0026,1.1235
0.0036,1.0861
0.0048,1.0332
0.006,0.9825
0.0073,0.9221
0.0087,0.8769
0.0104,0.8246
0.0125,0.7628
0.0146,0.7098
0.0186,0.6287
0.0271,0.5416
0.0375,0.4166
0.05,0.3154
0.0625,0.2504
0.075,0.2005
0.1,0.1185
0.15,0.0015
0.2,-0.0849
0.25,-0.1667
0.3,-0.2492
0.325,-0.2877
0.35,-0.32
0.375,-0.3431
0.4,-0.3439
0.425,-0.3266
0.45,-0.2918
0.475,-0.2526
0.5,-0.2061
0.525,-0.1646
0.55,-0.117
0.575,-0.0715
0.6,-0.0314
0.6196,-0.0031
0.65,0.0402
0.6771,0.0801
0.7,0.1053
0.75,0.1624
0.775,0.1884
0.8,0.2088
0.825,0.2296
0.85,0.2455
0.875,0.2586
0.9,0.2669
0.925,0.2709
0.95,0.2646
0.975,0.2317
0.9875,0.2007
0.9938,0.1698
