,0.63
0.95052,0.173409680341586
0.89993,0.126228809613176
0.85023,0.105909743838667
0.80035,0.0720073825938985
0.75033,-0.00218768608172182
0.70002,-0.0858108012767147
0.65,-0.173741558415903
0.60043,-0.252650650351209
0.55017,-0.331559742286516
0.50032,-0.383657826932357
0.4503,-0.421867830121322
0.40032,-0.446697728497772
0.34998,-0.408375970447048
0.29993,-0.387995947475215
0.24982,-0.363003496572569
0.19978,-0.392496620544269
0.14992,-0.480681366005638
0.09995,-0.568510527815954
0.07513,-0.499679692504805
0.04998,-0.286603809260414
0.0255,0.233411881573712
0.01315,0.644507220323581
0,0.870556827064996
0.01257,-1.17361230658084
0.02502,-1.29581116814874
0.04998,-1.26555607921049
0.07527,-0.8202027955648
0.09995,-0.532271474007118
0.14992,-0.237045607836386
0.19998,-0.167107383440526
0.25005,-0.17375171794879
0.29995,-0.184906885058996
0.35008,-0.205286908030829
0.40015,-0.221105300736284
0.45005,-0.255068619178376
0.50008,-0.230289518466362
0.54995,-0.205256429432167
0.60007,-0.162433998312388
0.64993,-0.11510073459067
0.70012,-0.0903216338786557
0.75013,-0.092810719436033
0.80003,-0.0816149141942786
0.85008,-0.0610926577620239
0.90003,-0.0182702266422456
0.95052,0.0293170254016544
