,0.74
0.94997,0.165534272783177
0.90068,0.138362676228188
0.85062,0.102718461133001
0.80048,0.0628060505689077
0.75035,-0.00265176041100701
0.70022,-0.123627998685508
0.65025,-0.223295145814286
0.6,-0.310285251331574
0.55013,-0.422661326270649
0.50025,-0.500955609856089
0.45,-0.587945715373378
0.40015,-0.589380594319702
0.3501,-0.518256150294622
0.29988,-0.472836537679401
0.25028,-0.474303302824532
0.20038,-0.492779077447673
0.14978,-0.541195992750771
0.10047,-0.508517194144653
0.07525,-0.368495784839739
0.04997,-0.125846367088237
0.02528,0.342921751918866
0.01263,0.696926886247613
0,0.91839475764862
0.01282,-1.27539394097149
0.02543,-1.36878406210651
0.05027,-1.4149689434931
0.07517,-1.20933029221424
0.10013,-0.431689675704344
0.15018,-0.174099296226041
0.20018,-0.172600644882103
0.25007,-0.20527944348822
0.30052,-0.212349069280901
0.35035,-0.240727786219306
0.40037,-0.260570112219898
0.4506,-0.280476210618104
0.50052,-0.253432158858344
0.54983,-0.217724171365543
0.60008,-0.186411924136876
0.65,-0.137995008833779
0.7004,-0.127896194154414
0.75013,-0.109356647133659
0.80033,-0.0906895553176748
0.85062,-0.0721818944957264
0.90065,0.00611238908971412
0.9508,0.0502292227250984
