,0.47
0.95,0.059548929
0.9,0.025964303
0.85,-0.038996644
0.8,-0.088315436
0.75,-0.1454093
0.7,-0.218283336
0.65,-0.298840431
0.6,-0.37935152
0.55,-0.452133544
0.5,-0.509273414
0.45,-0.566137245
0.4,-0.638919269
0.35,-0.676552452
0.3,-0.729643765
0.25,-0.806290321
0.2,-0.937684417
0.15,-1.135695689
0.1,-1.536962954
0.075,-1.898066688
0.05,-2.751852278
0.025,-2.154413994
0.013,-1.822708309
0,-0.039778751
0.01,1.063637219
0.025,0.872618911
0.05,0.682198685
0.075,0.581720846
0.1,0.516345842
0.15,0.428795784
0.2,0.364616945
0.25,0.296665586
0.3,0.236443292
0.35,0.191817146
0.4,0.166789699
0.45,0.114480494
0.5,0.120553331
0.55,0.122899654
0.6,0.121381445
0.65,0.123727768
0.7,0.090833237
0.75,0.104773157
0.8,0.095617896
0.85,0.090189149
0.9,0.088440908
0.95,0.067324
