,0.122
0.944557601,-0.170573458
0.894909532,-0.207794377
0.847672684,-0.278339699
0.802261907,-0.315544924
0.757457579,-0.349044199
0.713263063,-0.367726401
0.670882287,-0.393809293
0.62910796,-0.416186235
0.590361392,-0.434848259
0.552216788,-0.464619165
0.516478922,-0.542529305
0.480120034,-0.672293597
0.444943777,-0.894646102
0.413397244,-1.124392571
0.380054905,-1.287479024
0.350970037,-1.383883042
0.319459375,-1.495110859
0.292197216,-1.569285904
0.265540384,-1.643458707
0.237670655,-1.72504341
0.216466255,-1.784381204
0.193451477,-1.825207185
0.169804468,-1.954924396
0.150388026,-2.10684816
0.129166811,-2.221741572
0.113420448,-2.247725818
0.095234839,-2.332978357
0.079463814,-2.440444176
0.066735121,-2.496046875
0.054017637,-2.514612495
0.043112774,-2.544282513
0.032815479,-2.566542873
0.025525766,-2.651755058
0.018222601,-2.781411736
0.010316351,-2.903663241
0.007314375,-2.822192878
0.005546594,-2.662940166
0.002516593,-2.674062499
0,-0.948150332
0.003429069,0.340755695
0.012067317,0.88152843
0.026015633,0.966765275
0.042956958,0.940902095
0.062302778,0.859492265
0.08953355,0.82996349
0.08953355,0.82996349
0.116741903,0.726360558
0.150613343,0.637597119
0.185690953,0.534023332
0.22561679,0.44898602
0.275224504,0.352873456
0.315766877,0.304875465
0.368414681,0.253218605
0.422882951,0.216383302
0.480992154,0.209191114
0.542135842,0.227936091
0.606312894,0.268914524
0.675334808,0.317318309
0.748587289,0.343515541
0.824248749,0.328980953
0.90594555,0.25520946
1,-0.066667862
