,0.19
0.99054,-0.06457
0.98054,-0.06457
0.96018,-0.06457
0.94024,-0.07679
0.92002,-0.08901
0.90021,-0.11344
0.8804,-0.13787
0.85035,-0.18674
0.80022,-0.27225
0.75015,-0.36998
0.7003,-0.46771
0.60019,-0.66318
0.57025,-0.72426
0.55011,-0.76091
0.54022,-0.79756
0.53029,-0.82199
0.52007,-0.83421
0.51044,-0.85864
0.50016,-0.87086
0.49019,-0.9075
0.48022,-0.93194
0.47,-0.95637
0.46027,-0.9808
0.45011,-1.01745
0.44007,-1.04188
0.42998,-1.06632
0.41998,-1.09075
0.41,-1.1274
0.4001,-1.16405
0.39013,-1.2007
0.38014,-1.23735
0.37004,-1.274
0.36013,-1.29843
0.35,-1.33508
0.34006,-1.37173
0.32983,-1.39616
0.32027,-1.43281
0.30978,-1.46946
0.30008,-1.51832
0.28015,-1.56719
0.26029,-1.61606
0.23997,-1.64049
0.22017,-1.67714
0.1998,-1.726
0.18027,-1.77487
0.16018,-1.84817
0.14004,-1.92147
0.12033,-1.99476
0.10014,-2.0925
0.07826,-2.26353
0.06237,-2.38569
0.05019,-2.52007
0.04018,-2.64223
0.03209,-2.72775
0.02655,-2.94764
0.02036,-3.24084
0.0163,-3.363
0.0124,-3.52182
0.00846,-3.70506
0.00648,-3.82723
0.00428,-4.01047
0.00187,-4.19372
0.00061,-4.93892
0.00197,-1.00524
0.00437,-0.18674
0.00622,0.25305
0.00816,0.47295
0.01181,0.76614
0.01556,0.90052
0.01979,0.96161
0.02623,1.01047
0.0317,1.01047
0.03977,0.98604
0.04932,0.94939
0.06136,0.88831
0.07746,0.81501
0.09926,0.75393
0.1245,0.68063
0.14973,0.59511
0.17467,0.52182
0.20006,0.42408
0.2247,0.30192
0.24953,0.19197
0.25992,0.15532
0.27007,0.13089
0.28991,0.08202
0.29999,0.08202
0.3098,0.08202
0.32003,0.09424
0.32997,0.10646
0.3402,0.11867
0.34996,0.11867
0.36045,0.14311
0.37023,0.15532
0.3804,0.16754
0.38978,0.17976
0.39989,0.20419
0.41029,0.20419
0.42038,0.22862
0.43005,0.25305
0.44047,0.2897
0.45039,0.30192
0.4701,0.32635
0.50064,0.35079
0.54973,0.39965
0.60014,0.42408
0.64995,0.4363
0.70012,0.44852
0.7505,0.47295
0.79984,0.46073
0.84958,0.47295
0.90005,0.4363
0.91981,0.42408
0.93969,0.38743
0.95936,0.33857
0.9799,0.24084
0.9902,0.15532
0.99947,-0.05236
