,0.19
0.99553, 0.01802
0.98881, 0.00901
0.97763, 0.00000
0.95973, -0.02703
0.93736, -0.04505
0.91723, -0.09910
0.89709, -0.15315
0.87696, -0.20721
0.84787, -0.26126
0.79642, -0.35135
0.74720, -0.42342
0.70022, -0.51351
0.59732, -0.64865
0.56376, -0.71171
0.54586, -0.75676
0.53468, -0.77477
0.52573, -0.79279
0.51454, -0.81081
0.50559, -0.81982
0.49664, -0.82883
0.48770, -0.85586
0.47651, -0.89189
0.46532, -0.90991
0.45861, -0.92793
0.44519, -0.96396
0.43624, -0.98198
0.42506, -1.00000
0.41611, -1.01802
0.40716, -1.05405
0.39821, -1.08108
0.38926, -1.10811
0.37808, -1.14414
0.36913, -1.17117
0.35794, -1.19820
0.34676, -1.22523
0.34004, -1.25225
0.32662, -1.27027
0.31767, -1.29730
0.30872, -1.32432
0.29978, -1.36937
0.27740, -1.39640
0.25951, -1.44144
0.23714, -1.43243
0.21924, -1.44144
0.19911, -1.45946
0.17897, -1.49550
0.16107, -1.52252
0.13870, -1.55856
0.11857, -1.64865
0.09843, -1.70270
0.07606, -1.79279
0.06264, -1.85586
0.04922, -1.92793
0.04027, -1.99099
0.03132, -2.04505
0.02461, -2.10811
0.01790, -2.17117
0.01342, -2.22523
0.01119, -2.27027
0.00671, -2.29730
0.00671, -2.32432
0.00224, -2.36036
0.00000, -2.33333
0.00000, -2.27928
0.00000, 0.14414
0.00447, 0.56757
0.00671, 0.78378
0.00895, 0.87387
0.01119, 0.97297
0.01342, 0.98198
0.02013, 0.99099
0.02461, 0.96396
0.03356, 0.92793
0.04027, 0.87387
0.04922, 0.81081
0.06264, 0.72973
0.07830, 0.63063
0.09843, 0.59459
0.12528, 0.53153
0.14765, 0.44144
0.17673, 0.36937
0.20134, 0.25225
0.22371, 0.11712
0.24832, 0.00901
0.25727, -0.02703
0.27069, -0.05405
0.28859, -0.08108
0.29978, -0.08108
0.30872, -0.07207
0.31991, -0.04505
0.32886, -0.02703
0.33781, -0.00901
0.34899, 0.00000
0.36242, 0.01802
0.36913, 0.03604
0.37808, 0.04505
0.38702, 0.06306
0.39821, 0.09910
0.40716, 0.13514
0.41611, 0.18919
0.42953, 0.20721
0.43848, 0.22523
0.44743, 0.22523
0.46980, 0.26126
0.49888, 0.28829
0.54810, 0.33333
0.59955, 0.37838
0.64877, 0.41441
0.69799, 0.42342
0.74944, 0.44144
0.79642, 0.44144
0.84787, 0.45946
0.89933, 0.43243
0.91723, 0.43243
0.93960, 0.39640
0.95973, 0.35135
0.97763, 0.26126
0.98658, 0.19820
