,0.19
0.99054,0.104905288
0.98054,0.060759987
0.96018,-0.009929826
0.94024,-0.089391368
0.92002,-0.168910242
0.90021,-0.230828326
0.8804,-0.257659496
0.85035,-0.275948264
0.80022,-0.312353805
0.75015,-0.340044948
0.7003,-0.376450488
0.60019,-0.414174655
0.57025,-0.467550337
0.55011,-0.503153236
0.54022,-0.485839105
0.53029,-0.512440948
0.52007,-0.512727606
0.51044,-0.512956933
0.50016,-0.495700133
0.49019,-0.522244645
0.48022,-0.548846489
0.47,-0.540361418
0.46027,-0.549419805
0.45011,-0.558363528
0.44007,-0.576193643
0.42998,-0.576480301
0.41998,-0.576709627
0.41,-0.585825345
0.4001,-0.603598129
0.39013,-0.621370912
0.38014,-0.639258359
0.37004,-0.657031143
0.36013,-0.639717011
0.35,-0.648718066
0.34006,-0.67531991
0.32983,-0.658063111
0.32027,-0.649520708
0.30978,-0.67606522
0.30008,-0.711381461
0.28015,-0.676867862
0.26029,-0.668612118
0.23997,-0.607726001
0.22017,-0.599470256
0.1998,-0.547355868
0.18027,-0.530385727
0.16018,-0.504643856
0.14004,-0.452414805
0.12033,-0.409129478
0.10014,-0.348243361
0.07826,-0.287414576
0.06237,-0.200155942
0.05019,-0.095181856
0.04018,-0.007751227
0.03209,0.079794065
0.02655,0.158567628
0.02036,0.289971564
0.0163,0.386345916
0.0124,0.491549328
0.00846,0.640554052
0.00648,0.719442279
0.00428,0.842189148
0.00187,0.947449892
0.00061,0.921077375
0.00197,0.394830987
0.00437,0.280798514
0.00622,0.175595102
0.00816,0.114250333
0.01181,0.044191166
0.01556,-0.043468789
0.01979,-0.069669312
0.02623,-0.095812503
0.0317,-0.122013026
0.03977,-0.148098885
0.04932,-0.182956474
0.06136,-0.217699399
0.07746,-0.234784204
0.09926,-0.216667431
0.1245,-0.207265055
0.14973,-0.25043572
0.17467,-0.319978902
0.20006,-0.424608999
0.2247,-0.564268679
0.24953,-0.686499564
0.25992,-0.712470761
0.27007,-0.703469706
0.28991,-0.70289639
0.29999,-0.685123607
0.3098,-0.63232124
0.32003,-0.605662065
0.32997,-0.59666101
0.3402,-0.561287438
0.34996,-0.56982984
0.36045,-0.429195524
0.37023,-0.314933725
0.3804,-0.288331881
0.38978,-0.244243911
0.39989,-0.208870339
0.41029,-0.182211164
0.42038,-0.129351465
0.43005,-0.12035041
0.44047,-0.067376049
0.45039,-0.040831537
0.4701,0.003485759
0.50064,0.074519562
0.54973,0.163498142
0.60014,0.226218869
0.64995,0.280110535
0.70012,0.325345136
0.7505,0.361750677
0.79984,0.380555428
0.84958,0.4170183
0.90005,0.409622529
0.91981,0.418795579
0.93969,0.38428198
0.95936,0.34976838
0.9799,0.288882264
0.9902,0.245252947
0.99947,0.1314498
