,0.4
1,0.122828037
0.9,0.006857342
0.8,-0.113044499
0.7,-0.260407163
0.65,-0.290941219
0.6,-0.348955164
0.55,-0.418648156
0.5,-0.496279699
0.45,-0.558224789
0.4,-0.639806541
0.35,-0.744975165
0.3,-0.861899096
0.25,-0.947411994
0.2,-1.107635718
0.15,-1.417185773
0.125,-1.621128715
0.1,-1.907625709
0.08,-2.186336672
0.06,-2.795244782
0.04,-3.247021465
0.02,-2.593993779
0.008,-2.11422246
0,0.354784679
0.01,0.936346354
0.04,0.680269027
0.06,0.605253165
0.1,0.502242666
0.2,0.390130671
0.35,0.261436181
0.5,0.179877307
0.7,0.152344037
0.9,0.164065027
1,0.126797312
