,0.4
1,0.126759182
0.9,0.069755668
0.8,0.008821008
0.7,-0.044213232
0.65,-0.047172076
0.6,-0.077629874
0.55,-0.080569654
0.5,-0.091390789
0.45,-0.106124005
0.4,-0.116945141
0.35,-0.127728147
0.3,-0.138587411
0.25,-0.117921254
0.2,-0.113036873
0.15,-0.123819879
0.125,-0.103668469
0.1,-0.08746727
0.08,-0.043862441
0.06,0.015543228
0.04,0.220325018
0.02,0.708206469
0.008,0.979608017
0,-0.812746434
0.01,-1.324653246
0.04,-0.986956037
0.06,-0.681051157
0.1,-0.384266839
0.2,-0.300774802
0.35,-0.209325151
0.5,-0.095337186
0.7,-0.034459721
0.9,0.054012021
1,0.118896891
