,0.6
1,0.1397243
0.9,0.084014211
0.8,-0.020934346
0.7,-0.113439998
0.6,-0.177409813
0.55,-0.199309981
0.5,-0.225180066
0.45,-0.259096618
0.4,-0.289096567
0.35,-0.318989886
0.3,-0.336706875
0.25,-0.395402605
0.2,-0.441548801
0.15,-0.5448733
0.125,-0.547670288
0.1,-0.550467275
0.08,-0.590113141
0.06,-0.560511004
0.04,-0.545990606
0.02,-0.191009243
0.01,
0,1.042601912
0.01,0.408349952
0.04,-0.016144197
0.06,
0.1,-0.428064204
0.2,-0.237721398
0.35,-0.20495317
0.7,-0.044085366
0.9,0.100213773
1,0.143800848
