,0.6
1,0.035801497
0.95,0.01499602
0.9,-0.03186589
0.8,-0.099533277
0.7,-0.206139164
0.65,-0.253001074
0.6,-0.286897404
0.55,-0.366235902
0.5,-0.426021635
0.45,-0.492352795
0.4,-0.610880335
0.35,-0.774724773
0.3,-0.990556805
0.25,-1.206555865
0.2,-1.428975081
0.15,-1.553839261
0.125,-1.586983963
0.1,-1.613708509
0.08,-1.588278433
0.06,-1.71881114
0.04,-1.927304361
0.02,-2.487246249
0.01,-2.442054624
0,-0.237436114
0.01,1.050707913
0.04,0.739199916
0.06,0.681167981
0.1,0.54563486
0.2,0.359700915
0.35,0.233469189
0.5,0.172274153
0.7,0.027951162
0.8,-0.060469506
0.9,-0.005809457
0.95,0.034507027
1,0.05522899
