,0.79
1,0.006
0.981,-0.016
0.972,-0.03
0.949,-0.094
0.932,-0.149
0.899,-0.266
0.85,-0.495
0.801,-0.794
0.75,-0.701
0.7,-0.63
0.652,-0.58
0.6,-0.549
0.549,-0.494
0.499,-0.463
0.448,-0.423
0.398,-0.378
0.351,-0.413
0.301,-0.717
0.25,-0.752
0.2,-0.755
0.15,-0.789
0.098,-0.783
0.072,-0.811
0.047,-0.771
0.028,-0.71
0.019,-0.593
0.012,-0.307
0.003,0.554
0,1.166
0,1.166
0.006,0.491
0.011,0.194
0.02,-0.019
0.029,-0.162
0.048,-0.245
0.069,-0.276
0.102,-0.309
0.151,-0.322
0.199,-0.281
0.251,-0.242
0.299,-0.208
0.35,-0.196
0.4,-0.193
0.451,-0.196
0.5,-0.226
0.549,-0.221
0.598,-0.213
0.649,0.025
0.699,0.24
0.747,0.34
0.8,0.409
0.85,0.457
0.899,0.489
0.929,0.496
0.95,0.491
0.969,0.437
0.99,0.301
0.998,0.116
