,0.82
1,-0.024
0.981,-0.061
0.972,-0.066
0.949,-0.107
0.932,-0.14
0.899,-0.225
0.85,-0.699
0.801,-0.749
0.75,-0.647
0.7,-0.579
0.652,-0.532
0.6,-0.488
0.549,-0.439
0.499,-0.428
0.448,-0.393
0.398,-0.389
0.351,-0.361
0.301,-0.452
0.25,-0.488
0.2,-0.491
0.15,-0.523
0.098,-0.548
0.072,-0.502
0.047,-0.427
0.028,-0.387
0.019,-0.275
0.012,-0.011
0.003,0.755
0,1.171
0,1.171
0.006,0.28
0.011,-0.023
0.02,-0.254
0.029,-0.407
0.048,-0.496
0.069,-0.54
0.102,-0.645
0.151,-0.677
0.199,-0.669
0.251,-0.583
0.299,-0.266
0.35,-0.296
0.4,-0.296
0.451,-0.306
0.5,-0.343
0.549,-0.329
0.598,-0.251
0.649,0.017
0.699,0.213
0.747,0.299
0.8,0.365
0.85,0.421
0.899,0.46
0.929,0.47
0.95,0.456
0.969,0.413
0.99,0.274
0.998,0.085
