,0.78
1,0.062
0.989,0.04
0.972,-0.028
0.932,-0.208
0.899,-0.289
0.85,-0.41
0.801,-0.456
0.75,-0.468
0.7,-0.48
0.652,-0.482
0.6,-0.477
0.549,-0.473
0.499,-0.476
0.448,-0.467
0.398,-0.463
0.351,-0.458
0.301,-0.431
0.25,-0.502
0.2,-0.497
0.15,-0.504
0.098,-0.507
0.071,-0.503
0.046,-0.553
0.029,-0.532
0.016,-0.382
0.012,-0.253
0.003,0.633
0,1.164
0,1.164
0.006,0.324
0.011,-0.076
0.02,-0.211
0.029,-0.294
0.048,-0.355
0.069,-0.358
0.102,-0.352
0.151,-0.36
0.199,-0.375
0.251,-0.381
0.299,-0.366
0.35,-0.362
0.4,-0.352
0.451,-0.349
0.5,-0.347
0.549,-0.287
0.598,-0.199
0.649,-0.048
0.699,0.12
0.747,0.245
0.8,0.345
0.85,0.408
0.899,0.449
0.929,0.457
0.95,0.442
0.998,0.068
