,0.82
1,0.072
0.989,0.059
0.972,0.009
0.932,-0.148
0.899,-0.228
0.85,-0.345
0.801,-0.569
0.75,-0.66
0.7,-0.606
0.652,-0.621
0.6,-0.586
0.549,-0.537
0.499,-0.527
0.448,-0.539
0.398,-0.536
0.351,-0.529
0.301,-0.528
0.25,-0.531
0.2,-0.51
0.15,-0.507
0.098,-0.461
0.071,-0.451
0.046,-0.485
0.029,-0.425
0.016,-0.259
0.012,-0.138
0.003,0.693
0,1.179
0,1.179
0.006,0.331
0.011,-0.063
0.02,-0.222
0.029,-0.315
0.048,-0.403
0.069,-0.404
0.102,-0.393
0.151,-0.44
0.199,-0.44
0.251,-0.486
0.299,-0.526
0.35,-0.408
0.4,-0.434
0.451,-0.418
0.5,-0.403
0.549,-0.313
0.598,-0.201
0.649,-0.037
0.699,0.135
0.747,0.257
0.8,0.35
0.85,0.412
0.899,0.453
0.929,0.458
0.95,0.452
0.998,0.077
