,0.74
1,0.1048
0.9212,-0.0436
0.8791,-0.1291
0.8353,-0.2176
0.7493,-0.3574
0.6997,-0.3428
0.6598,-0.3919
0.6197,-0.4131
0.5795,-0.4829
0.5397,-0.6153
0.4996,-0.7704
0.4598,-1.1682
0.4201,-1.4084
0.3795,-1.4743
0.3402,-1.4683
0.2994,-1.4006
0.25,-1.4633
0.1997,-1.4625
0.1,-1.4899
0.08,-1.4696
0.0608,-1.4922
0.04,-1.4981
0.03,-1.456
0.0203,-1.4404
0.0097,-1.3404
0.0083,-0.8481
0,0.0643
0,0.0643
0.0052,1.1101
0.0098,0.9948
0.02,0.8393
0.05,0.6045
0.0813,0.468
0.1199,0.3598
0.1796,0.2338
0.2397,0.1385
0.2995,0.0545
0.3588,-0.0277
0.4193,-0.0965
0.4793,-0.1421
0.5394,-0.1331
0.5994,-0.0402
0.6507,0.1071
0.7203,0.2354
0.7743,0.3031
0.8394,0.3376
0.8996,0.3339
0.9492,0.2914
1,0.1048
